Abandonato,
Abatangelo,
Abatantuono,
Abate,アベート
Abategiovanni,
Abatescianni,
Abba,アッバ
Abbadelli,
Abbascia,
Abbatangelo,
Abbatantuono,
Abbate,アッバーテ
Abbatelli,
Abbaticchio,
Abbiati,アッビアーティ
Abbracciabene,
Abbracciabeni,
Abelli,
Abello,
Abrami,
Abramo,アブラーモ
Acardi,
Accardi,アカルディ
Accardo,アッカルド
Acciai,
Acciaio,
Acciaioli,
Acconci,アコンチ
Acconcio,
Accorsi,アコーシ
Accorso,
Accosi,
Accursio,
Acerbi,
Acone,
Aconi,
Acqua,
Acquafredda,
Acquarone,
Acquati,
Adalardi,
Adami,アダーミ
Adamo,アダモ
Adamoli,アダモーリ
Addario,
Adelardi,
Adessi,
Adimari,
Adriatico,
Affini,
Africani,
Africano,アフリカーノ
Agani,
Aggi,
Aggio,
Agli,
Agnelli,アニェリ
Agnellutti,
Agnusdei,
Agosti,アゴスティ
Agostini,アゴスティーニ
Agresta,アグレスタ
Agrioli,
Aiello,アイエロ
Aiolfi,
Airaldi,アイラルディ
Airo,
Aita,
Ajello,
Alagona,
Alamanni,アラマンニ
Albanesi,
Albani,アルバーニ
Albano,アルバーノ
Alberghi,
Alberghini,
Alberici,
Alberighi,
Albero,
Albini,アルビニ
Albricci,
Albrici,
Alcheri,
Aldebrandi,
Alderisi,
Alduino,
Alemagna,アレマーニャ
Aleppo,
Alesci,
Alescio,
Alesi,アレジ
Alesini,
Alesio,
Alessandri,アレッサンドリ
Alessi,アレッシィ
Alfero,
Aliberti,アリベルティ
Alinari,アリナーリ
Aliprandi,
Allegri,アッレーグリ
Allegro,アレグロ
Alo,
Aloia,
Aloisi,アロイージ
Altamura,アルタムーラ
Altimari,
Altoviti,
Alunni,
Amadei,アマデイ
Amadori,
Amalberti,
Amantea,
Amato,アマート
Amatore,
Ambrogi,
Ambrosi,アムブローズィ
Amello,
Amerighi,
Amoretto,
Angioli,
Ansaldi,
Anselmetti,
Anselmi,アンセルミ
Antonelli,アントネリ
Antonini,アントニーニ
Antonino,アントニーノ
Aquila,アキラ
Aquino,アキノ
Arbore,
Ardiccioni,
Ardizzone,アーディゾーニ
Ardovini,
Arena,アリーナ
Aringheri,
Arlotti,
Armani,アルマーニ
Armati,
Armonni,
Arnolfi,
Arnoni,
Arrighetti,
Arrighi,アッリギ
Arrigucci,
Aucciello,
Azzara,
Baggi,
Baggio,バッジョ
Baglio,バリオ
Bagni,
Bagnoli,バニョーリ
Balboni,バルボニ
Baldi,バルディ
Baldini,バルディーニ
Baldinotti,
Baldovini,
Bandini,バンディーニ
Bandoni,
Barbieri,バルビエーリ
Barone,バローネ
Barsetti,
Bartalotti,
Bartolomei,バルトロメイ
Bartolomeo,バルトロメーオ
Barzetti,
Basile,バジーレ
Bassanelli,
Bassani,バッサーニ
Bassi,バッスィ
Basso,バッソ
Basurto,
Battaglia,バタグリア
Bazzoli,
Bellandi,
Bellandini,
Bellincioni,ベッリンチョーニ
Bellini,ベリーニ
Bello,ベリョ
Bellomi,
Belloni,
Belluomi,
Belmonte,ベルモンテ
Bencivenni,
Benedetti,ベネディティ
Benenati,
Benetton,ベネトン
Benini,
Benivieni,ベニヴィエーニ
Benvenuti,ベンヴェヌーティ
Berardi,ベラルディ
Bergamaschi,
Berti,ベルティ
Bertolini,ベルトリーナ
Biancardi,
Bianchi,ビアンチ
Bicchieri,
Biondi,ビオンディ
Biondo,ビオンド
Boerio,
Bologna,ボローナ
Bondesan,
Bonomo,ボノーモ
Borghi,ボルギ
Borgnino,
Borgogni,
Bosco,ボスコ
Bove,ボーヴ
Bover,ボペール
Boveri,ボヴェリ
Brambani,
Brambilla,ブランビッラ
Breda,ブレーダ
Brioschi,ブリオスキ
Brivio,ブリヴィオ
Brunetti,ブルネッティ
Bruno,ブルノー
Buffone,バフォン
Bulgarelli,
Bulgari,ブルガリ
Buonarroti,ブオナオーティ
Busto,
Caiazzo,
Caito,
Caivano,
Calabrese,カラブレーゼ
Calligaris,カリガリス
Campana,カンパーナ
Campo,カンポ
Cantu,カンタ
Capello,カペロ
Capello,カペロ
Capello,カペロ
Capitani,カピターニ
Carbone,カーボーン
Carboni,カルボーニ
Carideo,
Carlevaro,カルレバーロ
Caro,カーロ
Carracci,カッラッチ
Carrara,カラーラ
Caruso,カルーソー
Cassano,カッサーノ
Castro,カストロ
Catalano,カタラーノ
Cattaneo,カッタネオ
Cavalcante,カヴァルカンテ
Cavallo,カバロ
Cingolani,
Cino,チーノ
Cipriani,チプリアーニ
Cisternino,
Coiro,
Cola,コーラ
Colombera,
Colombo,コロンボ
Columbo,コランボ
Como,コモ
Como,コモ
Confortola,
Conti,コンティ
Corna,
Corti,コルティ
Corvi,コルヴィ
Costa,コスタ
Costantini,コスタンティーニ
Costanzo,コスタンツォ
Cracchiolo,
Cremaschi,
Cremona,クレモーナ
Cremonesi,
Crespo,クレスポ
Croce,クローチェ
Crocetti,クロセッティ
Cucinotta,クチノッタ
Cuocco,
Cuoco,クォーコ
D'ambrosio,
Damiani,ダミアーニ
D'amore,
D'angelo,
D'antonio,
De angelis,デアンジェリス
De campo,
De felice,デフェリス
De filippis,
De fiore,
De laurentis,
De luca,デルカ
De palma,デパルマ
De rege,
De santis,
De vitis,
Di antonio,
Di caprio,ディカプリオ
Di mercurio,ディマーキュリオ
Dinapoli,ディナポリ
Dioli,
Di pasqua,
Di pietro,ディピエトロ
Di stefano,ディステファノ
Donati,ドナティ
D'onofrio,ドノフリオ
Drago,ドラゴ
Durante,デュランテ
Elena,エレーナ
Episcopo,
Ermacora,
Esposito,エスポジト
Evangelista,エヴァンゲリスタ
Fabbri,ファッブリ
Fabbro,
Falco,ファルコ
Faraldo,
Farina,ファリーナ
Farro,ファロ
Fattore,
Fausti,ファウスティ
Fava,ファーヴァ
Favero,ファヴェロ
Fermi,フェルミ
Ferrara,フェッラーラ
Ferrari,フェッラーリ
Ferraro,フェラーロ
Ferrero,フェッレーロ
Ferro,フェロ
Fierro,フィエロ
Filippi,フィリッピ
Fini,フィーニ
Fiore,フィオーレ
Fiscella,
Fiscella,
Fonda,フォンダ
Fontana,フォンターナ
Fortunato,フォルトナト
Franco,フランコ
Franzese,
Furlan,
Gabrielli,ガブリエッリ
Gagliardi,ガグリアルディ
Gallo,ガジョ
Ganza,ガンザ
Garfagnini,
Garofalo,ガロファロ
Gaspari,ガスパリ
Gatti,ガッティ
Genovese,ジェノヴィーズ
Gentile,ジェンティーレ
Germano,ゲルマノ
Giannino,
Gimondi,
Giordano,ジョルダーノ
Gismondi,ギスモンディ
Giugovaz,
Giunta,ジウンタ
Goretti,ゴレッティ
Gori,ゴーリ
Greco,グレコ
Grillo,グリッロ
Grimaldi,グリマルディ
Gronchi,グロンキ
Guarneri,ガーネリ
Guerra,ゲーラ
Guerriero,
Guidi,グィーディ
Guttuso,グッツーゾ
Idoni,
Innocenti,インノチェンティ
Labriola,ラブリオーラ
Laconi,
Lagana,ラガナ
Lagomarsino,
Lagorio,ラゴーリオ
Laguardia,ラガーディア
Lama,ラマ
Lamberti,ランベルティ
Lamon,ラモン
Landi,ランディ
Lando,ランド
Landolfi,ランドルフィ
Laterza,
Laurito,ラウリト
Lazzari,ラザリ
Lecce,
Leccese,
Leggieri,
Lemmi,
Leone,レオネ
Leoni,レオーニ
Lippi,リッピ
Locatelli,ロカテッリ
Lombardi,ロンバルディ
Longo,ロンゴ
Lupo,ルーポ
Luzzatto,ルザット
Maestri,マエストリ
Magro,
Mancini,マンシーニ
Manco,マンコ
Mancuso,マキューゾ
Manfredi,マンフレーディ
Manfredonia,
Mantovani,マントヴァーニ
Marchegiano,
Marchesi,マルケージ
Marchetti,マルケッティ
Marchioni,
Marconi,マルコーニ
Mari,マリ
Maria,マリー
Mariani,マリアーニ
Marino,マリノ
Marmo,
Martelli,マーテリ
Martinelli,マルティネッリ
Masi,マージ
Masin,メイジン
Mazza,マッツァ
Merlo,メルロ
Messana,
Micheli,ミケーリ
Milani,ミラーニ
Milano,ミラノ
Modugno,モドゥーニョ
Mondadori,モンダドーリ
Mondo,
Montagna,モンターニャ
Montana,モンタナ
Montanari,モンタナーリ
Monte,モンティ
Monti,モンティ
Morandi,モランディ
Morello,モレロ
Moretti,モレッティ
Morra,モラ
Moschella,モシェラ
Mosconi,
Motta,モッタ
Muggia,
Muraro,ムラロ
Murgia,
Murtas,
Nacar,
Naggi,
Naggia,
Naldi,ナルディ
Nana,ナナ
Nani,ナニ
Nanni,ナンニ
Nannini,ナニーニ
Napoleoni,ナポレオーニ
Napoletani,
Napoliello,
Nardi,ナルディ
Nardo,ナルド
Nardovino,
Nasato,
Nascimbene,ナッシンベンネ
Nascimbeni,ナッシムベーニー
Natale,ナターレ
Nave,ネイブ
Nazario,
Necchi,
Negri,ネーグリ
Negrini,
Nelli,ネッリ
Nenci,
Nepi,
Neri,ネーリ
Neroni,ネローニ
Nervetti,
Nervi,ネルヴィ
Nespola,
Nicastro,ニカストロ
Nicchi,
Nicodemo,
Nicolai,ニコライ
Nicolosi,ニコローシ
Nicosia,
Nicotera,ニコーテラ
Nieddu,
Nieri,
Nigro,ニグロ
Nisi,
Nizzola,
Noschese,
Notaro,ノターロ
Notoriano,
Oberti,
Oberto,
Ongaro,
Orlando,オーランド
Orsini,オルシーニ
Pace,パーチェ
Padovan,パドヴァン
Padovano,パドヴァーノ
Pagani,パガーニ
Pagano,パガノ
Palladino,パラディーノ
Palmisano,パルミサーノ
Palumbo,パルンボ
Panzavecchia,
Parisi,パリシ
Parma,パルマ
Parodi,パロディ
Parri,パッリ
Parrino,
Passerini,パセリーニ
Pastore,パストーレ
Paternoster,
Pavesi,
Pavone,パヴォーネ
Pavoni,パヴォーニ
Pecora,ピコーラ
Pedrotti,ペドロッティ
Pellegrino,ペルグリーノ
Perugia,ペルージア
Pesaresi,
Pesaro,ペサロ
Pesce,ペシ
Petri,ペトリ
Pherigo,
Piazza,ピアザ
Piccirillo,
Piccoli,ピコリ
Pierno,
Pietri,ピエトリ
Pini,ピニ
Piovene,ピオヴェーネ
Piraino,
Pisani,ピサーニ
Pittaluga,
Poggi,ポッジ
Poggio,ポッジオ
Poletti,ポレッティ
Pontecorvo,ポンテコルヴォ
Portelli,
Porto,ポルト
Portoghese,
Potenza,
Pozzi,ポッツィ
Profeta,
Prosdocimi,
Provenza,
Provenzano,プロヴェンザノ
Pugliese,プリエーゼ
Quaranta,クアランタ
Quattrocchi,クアトロッチ
Ragno,
Raimondi,ライモンディ
Rais,ライス
Rana,ラナ
Raneri,
Rao,ラオ
Rapallino,
Ratti,ラッティ
Ravenna,
Re,レー
Ricchetti,リケッティ
Ricci,リッチ
Riggi,
Righi,リーギ
Rinaldi,リナルディ
Riva,ライヴァ
Rizzo,リゾ
Robustelli,
Rocca,ロッカ
Rocchi,
Rocco,ロッコ
Roma,ローマ
Roma,ローマ
Romagna,
Romagnoli,
Romano,ロマノ
Romano,ロマノ
Romero,ロメーロ
Roncalli,ロンカルリ
Ronchi,ロンチ
Rosa,ローサ
Rossi,ロッシ
Rossini,ロッシーニ
Rotolo,ロトロ
Rovigatti,
Ruggeri,ルッジェーリ
Russo,ラッソ
Rustici,ルスティチ
Ruzzier,
Sabbadin,
Sacco,サッコ
Sala,サラ
Salomon,サロモン
Salucci,
Salvaggi,
Salvai,
Salvail,
Salvatici,
Salvay,
Sanna,サナ
Sansone,サンソネ
Santini,サンティーニ
Santoro,サントロ
Sapienti,
Sarno,サーノ
Sarti,サルティ
Sartini,
Sarto,サルト
Savona,サヴォーナ
Scarpa,スカルパ
Scarsi,
Scavo,
Sciacca,シアッカ
Sciacchitano,
Sciarra,
Scordato,
Scotti,スコッティ
Scutese,
Sebastiani,セバスティアーニ
Sebastino,
Segreti,
Selmone,
Selvaggio,
Serafin,セラフィン
Serafini,セラフィーニ
Serpico,
Sessa,セッサ
Sgro,
Siena,シェーナ
Silvestri,シルヴェストリ
Sinagra,シナグラ
Sinagra,シナグラ
Soldati,ソルダーティ
Somma,ソンマ
Sordi,ソルディ
Soriano,ソリアーノ
Sorrentino,ソレンティーノ
Spada,スパーダ
Spano,スパーノ
Sparacello,
Speziale,
Spini,スピーニ
Stabile,スタービレ
Stablum,
Stilo,スティロ
Sultana,
Tafani,
Tamaro,タマーロ
Tamboia,
Tanzi,タンジ
Tarantino,タランティーノ
Taverna,タヴェルナ
Tedesco,テデスコ
Terranova,テッラノーヴァ
Terzi,テルツィ
Tessaro,テッサロ
Testa,テスタ
Tiraboschi,ティラボスキ
Tivoli,ティーヴォリ
Todaro,トダロ
Toloni,
Tornincasa,
Toselli,トセリ
Tosetti,
Tosi,トージ
